AnimeIndex,AnimeName,AnimeYear,AnimeImage
67,Dragon Quest: Dai no Daibouken,1991,https://cdn.myanimelist.net/images/anime/1963/108416.jpg
68,Bishoujo Senshi Sailor Moon,1992,https://cdn.myanimelist.net/images/anime/1017/105998.jpg
69,Crayon Shin-chan,1992,https://cdn.myanimelist.net/images/anime/10/59897l.jpg
70,Yuu Yuu Hakusho,1992,https://cdn.myanimelist.net/images/anime/1228/111372.jpg
71,Porco Rosso,1992,https://cdn.myanimelist.net/images/anime/6/2878l.jpg
72,Kenyuu Densetsu Yaiba,1993,https://cdn.myanimelist.net/images/anime/5/71953l.jpg
73,Dragon League,1993,https://cdn.myanimelist.net/images/anime/5/49791l.jpg
74,Slam Dunk,1993,https://cdn.myanimelist.net/images/anime/12/86890.jpg
75,Jungle no Ouja Taa-chan,1993,https://cdn.myanimelist.net/images/anime/1948/106089l.jpg
76,Mobile Fighter G Gundam,1994,https://cdn.myanimelist.net/images/anime/1596/92392l.jpg
77,Marmalade Boy,1994,https://cdn.myanimelist.net/images/anime/8/6092.jpg
78,Tottemo! Luckyman,1994,https://cdn.myanimelist.net/images/anime/1463/103126l.jpg
79,Montana Jones,1994,https://cdn.myanimelist.net/images/anime/13/5303l.jpg
80,Magic Knight Rayearth,1994,https://cdn.myanimelist.net/images/anime/1711/94452l.jpg
81,DNA,1994,https://cdn.myanimelist.net/images/anime/1433/103506l.jpg
82,Golden Boy,1995,https://cdn.myanimelist.net/images/anime/10/19210l.jpg
83,Slayers,1995,https://cdn.myanimelist.net/images/anime/1446/97050l.jpg
84,Fushigi Yuugi,1995,https://cdn.myanimelist.net/images/anime/2/20140.jpg
85,Tenchi Muyou!,1995,https://cdn.myanimelist.net/images/anime/3/61663l.jpg
86,Mobile Suit Gundam Wing,1995,https://cdn.myanimelist.net/images/anime/1884/114414l.jpg
87,Neon Genesis Evangelion,1995,https://cdn.myanimelist.net/images/anime/1314/108941l.jpg
88,Mimi wo Sumaseba (Susurros del Corazón),1995,https://cdn.myanimelist.net/images/anime/1899/109259l.jpg
89,Rurouni Kenshin: Meiji Kenkaku Romantan,1996,https://cdn.myanimelist.net/images/anime/1516/119368l.jpg
90,Detective Conan,1996,https://cdn.myanimelist.net/images/anime/7/75199l.jpg
91,Tenkuu no Escaflowne,1996,https://cdn.myanimelist.net/images/anime/9/9624l.jpg
92,Jigoku Sensei Nube,1996,https://cdn.myanimelist.net/images/anime/1/2129l.jpg
93,Kochikame,1996,https://cdn.myanimelist.net/images/anime/13/75993l.jpg
94,Saber Marionette J,1996,https://cdn.myanimelist.net/images/anime/1754/97053.jpg
95,Taiho Shichau zo (You're Under Arrest),1996,https://cdn.myanimelist.net/images/anime/4/16767.jpg
96,Eat-Man,1997,https://cdn.myanimelist.net/images/anime/1171/95124l.jpg
97,Shoujo Kakumei Utena,1997,https://cdn.myanimelist.net/images/anime/1078/95285l.jpg
98,Hyper Police,1997,https://cdn.myanimelist.net/images/anime/1401/119360l.jpg
99,Rekka no Honoo,1997,https://cdn.myanimelist.net/images/anime/1646/113504l.jpg
100,Kenpuu Denki Berserk,1997,https://cdn.myanimelist.net/images/anime/3/73253l.jpg
101,Pokémon,1997,https://cdn.myanimelist.net/images/anime/13/73834l.jpg
102,Mononoke Hime (La Princesa Mononoke),1997,https://cdn.myanimelist.net/images/anime/7/75919l.jpg
103,Seihou Bukyou Outlaw Star,1998,https://cdn.myanimelist.net/images/anime/7/28848l.jpg
104,Cowboy Bebop,1998,https://cdn.myanimelist.net/images/anime/1553/91487l.jpg
105,Trigun,1998,https://cdn.myanimelist.net/images/anime/5/75182l.jpg
106,Cardcaptor Sakura,1998,https://cdn.myanimelist.net/images/anime/13/14516.jpg
107,Initial D First Stage,1998,https://cdn.myanimelist.net/images/anime/13/6801l.jpg
108,Yu Gi Oh!,1998,https://cdn.myanimelist.net/images/anime/8/28387.jpg
109,Lodoss-tou Senki: Eiyuu Kishi Den,1998,https://cdn.myanimelist.net/images/anime/1745/105943l.jpg
110,Lost Universe,1998,https://cdn.myanimelist.net/images/anime/1445/98394l.jpg
111,Neo Ranga,1998,https://cdn.myanimelist.net/images/anime/1106/96511l.jpg
112,Serial Experiments Lain,1998,https://cdn.myanimelist.net/images/anime/11/73282l.jpg
113,Kareshi Kanojo no Jijou,1998,https://cdn.myanimelist.net/images/anime/1745/94127.jpg
114,Majutsushi Orphen,1998,https://cdn.myanimelist.net/images/anime/7/71815l.jpg
115,Perfect Blue,1998,https://cdn.myanimelist.net/images/anime/7/58303l.jpg
116,Pokémon: The First Movie ,1998,https://cdn.myanimelist.net/images/anime/1552/101789l.jpg
117,Kamikaze Kaitou Jeanne,1999,https://cdn.myanimelist.net/images/anime/5/20389l.jpg
118,Petshop of Horrors,1999,https://cdn.myanimelist.net/images/anime/1745/99076l.jpg
119,Ojamajo Doremi,1999,https://cdn.myanimelist.net/images/anime/6/36075l.jpg
120,Monster Rancher,1999,https://cdn.myanimelist.net/images/anime/1044/113641l.jpg
121,Arc the Lad,1999,https://cdn.myanimelist.net/images/anime/1007/111247l.jpg
122,Gokudou-kun Manyuuki (Jester: El Aventurero),1999,https://cdn.myanimelist.net/images/anime/1483/94117l.jpg
123,Power Stone,1999,https://cdn.myanimelist.net/images/anime/1110/98247l.jpg
124,Great Teacher Onizuka,1999,https://cdn.myanimelist.net/images/anime/13/11460l.jpg
125,One Piece,1999,https://cdn.myanimelist.net/images/anime/6/73245l.jpg
126,Hunter x Hunter,1999,https://cdn.myanimelist.net/images/anime/8/19473.jpg
127,Heppoko Jikken Animation Excel Saga,1999,https://cdn.myanimelist.net/images/anime/1728/97423l.jpg
128,Digimon Adventure,1999,https://cdn.myanimelist.net/images/anime/10/11070l.jpg
129,Love Hina,2000,https://cdn.myanimelist.net/images/anime/1153/99366.jpg
130,Gensoumaden Saiyuuki,2000,https://cdn.myanimelist.net/images/anime/11/75282l.jpg
131,Sakura Taisen,2000,https://cdn.myanimelist.net/images/anime/12/20378l.jpg
132,Boys Be...,2000,https://cdn.myanimelist.net/images/anime/1/2223l.jpg
133,Ayashi no Ceres,2000,https://cdn.myanimelist.net/images/anime/8/23580l.jpg
134,Medarot Damashii,2000,https://cdn.myanimelist.net/images/anime/1878/117023l.jpg
135,InuYasha,2000,https://cdn.myanimelist.net/images/anime/1589/95329l.jpg
136,Hajime no Ippo,2000,https://cdn.myanimelist.net/images/anime/4/86334l.jpg
137,Vandread,2000,https://cdn.myanimelist.net/images/anime/5/75446.jpg
138,Gear Fighter Dendoh,2000,https://cdn.myanimelist.net/images/anime/8/4877l.jpg
139,Vampire Hunter D: Bloodlust,2000,https://cdn.myanimelist.net/images/anime/9/21432l.jpg
140,Grappler Baki,2001,https://cdn.myanimelist.net/images/anime/3/7604l.jpg
141,Tales of Eternia,2001,https://cdn.myanimelist.net/images/anime/11/42089.jpg
142,Noir,2001,https://cdn.myanimelist.net/images/anime/1054/96577l.jpg
143,Jungle wa Itsumo Hare nochi Guu,2001,https://cdn.myanimelist.net/images/anime/10/7115l.jpg
144,Project ARMS,2001,https://cdn.myanimelist.net/images/anime/1064/92891l.jpg
145,Parappa the Rapper,2001,https://cdn.myanimelist.net/images/anime/11/6602l.jpg
146,Fruits Basket,2001,https://cdn.myanimelist.net/images/anime/4/75204.jpg
147,Shaman King,2001,https://cdn.myanimelist.net/images/anime/4/18990l.jpg
148,Hellsing,2001,https://cdn.myanimelist.net/images/anime/10/19956l.jpg
149,Tennis no Ouji-sama,2001,https://cdn.myanimelist.net/images/anime/6/21624l.jpg
150,Hikaru no Go,2001,https://cdn.myanimelist.net/images/anime/12/78317.jpg
151,Rave Master,2001,https://cdn.myanimelist.net/images/anime/9/21181.jpg
152,Mahoromatic: Automatic Maiden,2001,https://cdn.myanimelist.net/images/anime/1786/109719l.jpg
153,Hoshi no Kirby,2001,https://cdn.myanimelist.net/images/anime/9/22184l.jpg
154,Sen to Chihiro no Kamikakushi (Spirited Away),2001,https://cdn.myanimelist.net/images/anime/6/79597l.jpg
155,Full Metal Panic!,2002,https://cdn.myanimelist.net/images/anime/2/75259.jpg
156,Onegai Teacher,2002,https://cdn.myanimelist.net/images/anime/1158/100228l.jpg
157,Kanon,2002,https://cdn.myanimelist.net/images/anime/1/144l.jpg
158,Rockman.EXE,2002,https://cdn.myanimelist.net/images/anime/1976/94654l.jpg
159,Chobits,2002,https://cdn.myanimelist.net/images/anime/11/51385l.jpg
160,.hack//Sign,2002,https://cdn.myanimelist.net/images/anime/1603/94024l.jpg
